"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ServiceTerritoryWorkTypeHistory","Service Territory Work Type History","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ServiceTerritoryWorkTypeHistory","Service Territory Work Type History","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ServiceTerritoryWorkTypeHistory","Service Territory Work Type History","Field","Changed Field","picklist",255,false,"[]",,false,false,,"[""Created."",""Feed event"",""Individual Merged"",""Owner (Accepted)"",""Owner (Assignment)"",""Record locked."",""Record unlocked."",""Service Territory"",""Work Type""]",false
"ServiceTerritoryWorkTypeHistory","Service Territory Work Type History","OldValue","Old Value","anyType",255,true,"[]",,false,false,,"[]",false
"ServiceTerritoryWorkTypeHistory","Service Territory Work Type History","NewValue","New Value","anyType",255,true,"[]",,false,false,,"[]",false
"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"SessionPermSetActivation","Session Permission Set Activation","Id","SessionPermSetActivation ID","id",18,false,"[]",,false,false,,"[]",false
"SessionPermSetActivation","Session Permission Set Activation","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"SessionPermSetActivation","Session Permission Set Activation","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"SessionPermSetActivation","Session Permission Set Activation","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"SessionPermSetActivation","Session Permission Set Activation","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"SessionPermSetActivation","Session Permission Set Activation","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"SessionPermSetActivation","Session Permission Set Activation","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"SessionPermSetActivation","Session Permission Set Activation","AuthSessionId","Auth Session ID","reference",18,false,"[""AuthSession""]","AuthSession",false,false,,"[]",false
"SessionPermSetActivation","Session Permission Set Activation","PermissionSetId","PermissionSet ID","reference",18,false,"[""PermissionSet""]","PermissionSet",false,false,,"[]",false
"SessionPermSetActivation","Session Permission Set Activation","UserId","User ID","reference",18,false,"[""User""]","User",false,false,,"[]",false
"SessionPermSetActivation","Session Permission Set Activation","Description","Description","textarea",255,true,"[]",,false,false,,"[]",false
"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"SetupAuditTrail","Setup Audit Trail Entry","Id","Setup Audit Trail ID","id",18,false,"[]",,false,false,,"[]",false
"SetupAuditTrail","Setup Audit Trail Entry","Action","Action","string",120,false,"[]",,false,false,,"[]",false
"SetupAuditTrail","Setup Audit Trail Entry","Section","Section","string",40,true,"[]",,false,false,,"[]",false
"SetupAuditTrail","Setup Audit Trail Entry","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"SetupAuditTrail","Setup Audit Trail Entry","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"SetupAuditTrail","Setup Audit Trail Entry","Display","Display","string",1000,true,"[]",,false,false,,"[]",false
"SetupAuditTrail","Setup Audit Trail Entry","DelegateUser","Delegate User","string",80,true,"[]",,false,false,,"[]",false
"SetupAuditTrail","Setup Audit Trail Entry","ResponsibleNamespacePrefix","Source Namespace Prefix","string",15,true,"[]",,false,false,,"[]",false
"SetupAuditTrail","Setup Audit Trail Entry","CreatedByContext","Created By Context","string",80,true,"[]",,false,false,,"[]",false
"SetupAuditTrail","Setup Audit Trail Entry","CreatedByIssuer","Created By Issuer","string",80,true,"[]",,false,false,,"[]",false
"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"SetupEntityAccess","Setup Entity Access","Id","SetupEntityAccess ID","id",18,false,"[]",,false,false,,"[]",false
"SetupEntityAccess","Setup Entity Access","ParentId","Parent ID","reference",18,false,"[""PermissionSet""]","Parent",false,false,,"[]",false
"SetupEntityAccess","Setup Entity Access","SetupEntityId","Setup Entity ID","reference",18,false,"[""ApexClass"",""ApexPage"",""ConnectedApplication"",""CustomPermission"",""ExternalDataSource"",""NamedCredential""]",,false,false,,"[]",false
"SetupEntityAccess","Setup Entity Access","SetupEntityType","Setup Entity Type","picklist",40,true,"[]",,false,false,,"[null,null,null,null,null,null,null,null,null]",false
"SetupEntityAccess","Setup Entity Access","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"Site","Site","Id","Site ID","id",18,false,"[]",,false,false,,"[]",false
"Site","Site","Name","Site Name","string",80,false,"[]",,false,false,,"[]",false
"Site","Site","Subdomain","Site Subdomain Prefix","string",80,true,"[]",,false,false,,"[]",false
"Site","Site","UrlPathPrefix","Default Web Address","string",40,true,"[]",,false,false,,"[]",false
"Site","Site","GuestUserId","User ID","reference",18,true,"[""User""]","GuestUser",false,false,,"[]",false
"Site","Site","Status","Site Status","picklist",40,false,"[]",,false,false,,"[""Active"",""In Maintenance""]",false
"Site","Site","AdminId","User ID","reference",18,false,"[""User""]","Admin",false,false,,"[]",false
"Site","Site","OptionsEnableFeeds","Enable Feeds","boolean",0,false,"[]",,false,false,,"[]",false
"Site","Site","OptionsRequireHttps","Require Secure Connections (HTTPS)","boolean",0,false,"[]",,false,false,,"[]",false
"Site","Site","OptionsAllowHomePage","Enable Standard Home Page","boolean",0,false,"[]",,false,false,,"[]",false
"Site","Site","OptionsAllowStandardIdeasPages","Enable Standard Ideas Pages","boolean",0,false,"[]",,false,false,,"[]",false
"Site","Site","OptionsAllowStandardSearch","Enable Standard Lookup Pages","boolean",0,false,"[]",,false,false,,"[]",false
"Site","Site","OptionsAllowStandardLookups","Enable Standard Search Pages","boolean",0,false,"[]",,false,false,,"[]",false
"Site","Site","OptionsAllowStandardAnswersPages","Enable Standard Answers Pages","boolean",0,false,"[]",,false,false,,"[]",false
"Site","Site","OptionsAllowGuestSupportApi","Guest Access to the Support API","boolean",0,false,"[]",,false,false,,"[]",false
"Site","Site","OptionsAllowStandardPortalPages","Allow Access to Standard Salesforce Pages","boolean",0,false,"[]",,false,false,,"[]",false
"Site","Site","OptionsCspUpgradeInsecureRequests","Upgrade all requests to HTTPS","boolean",0,false,"[]",,false,false,,"[]",false
"Site","Site","OptionsContentSniffingProtection","Enable Content Sniffing Protection","boolean",0,false,"[]",,false,false,,"[]",false
"Site","Site","OptionsBrowserXssProtection","Enable Browser Cross Site Scripting Protection","boolean",0,false,"[]",,false,false,,"[]",false
"Site","Site","OptionsReferrerPolicyOriginWhenCrossOrigin","Referrer URL Protection","boolean",0,false,"[]",,false,false,,"[]",false
"Site","Site","Description","Site Description","textarea",1000,true,"[]",,false,false,,"[]",false
"Site","Site","MasterLabel","Site Label","string",255,false,"[]",,false,false,,"[]",false
"Site","Site","AnalyticsTrackingCode","Analytics Tracking Code","string",40,true,"[]",,false,false,,"[]",false
"Site","Site","SiteType","Site Type","picklist",40,false,"[]",,false,false,,"[""Site.com"",""Force.com"",""User""]",false
"Site","Site","ClickjackProtectionLevel","Clickjack Protection Level","picklist",40,false,"[]",,false,false,,"[""Allow framing by any page (No protection)"",""Allow framing of site or community pages on external domains (Good protection)"",""Allow framing by the same origin only (Recommended)"",""Don't allow framing by any page (Most protection)""]",false
"Site","Site","DailyBandwidthLimit","Daily Bandwidth Limit (MB)","int",0,true,"[]",,false,false,,"[]",false
"Site","Site","DailyBandwidthUsed","Daily Bandwidth Used","int",0,true,"[]",,false,false,,"[]",false
"Site","Site","DailyRequestTimeLimit","Daily Request Time Limit (min)","int",0,true,"[]",,false,false,,"[]",false
"Site","Site","DailyRequestTimeUsed","Daily Request Time Used","int",0,true,"[]",,false,false,,"[]",false
"Site","Site","MonthlyPageViewsEntitlement","Monthly Page Views Allowed","int",0,true,"[]",,false,false,,"[]",false
"Site","Site","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"Site","Site","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"Site","Site","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"Site","Site","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"Site","Site","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"Site","Site","GuestRecordDefaultOwnerId","User ID","reference",18,true,"[""User""]","GuestRecordDefaultOwner",false,false,,"[]",false
"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"SiteDetail","Site Detail","Id","Site Detail ID","id",18,false,"[]",,false,false,,"[]",false
"SiteDetail","Site Detail","DurableId","Site ID","string",255,true,"[]",,false,false,,"[]",false
"SiteDetail","Site Detail","IsRegistrationEnabled","Self-Registration Enabled","boolean",0,false,"[]",,false,false,,"[]",false
"SiteDetail","Site Detail","SecureUrl","Secure Url","url",255,true,"[]",,false,false,,"[]",false
"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"SiteFeed","Site","Id","Feed Item ID","id",18,false,"[]",,false,false,,"[]",false
"SiteFeed","Site","ParentId","Parent ID","reference",18,false,"[""Site""]","Parent",false,false,,"[]",false
"SiteFeed","Site","Type","Feed Item Type","picklist",40,true,"[]",,false,false,,"[""Tracked Change"",""User Status"",""Text Post"",""Advanced Text Post"",""Link Post"",""Content Post"",""Poll"",""Work.com Thanks"",""Profile Skill Post"",""Dashboard Component Snapshot"",""Approval Post"",""Case Comment Feed"",""Reply Post"",""Email Message Feed"",""Call Log Feed"",""Change Status Feed"",""Attached Article"",""Milestone Event"",""Activity Change"",""Chat Transcript Post"",""Collaboration Group Created"",""Collaboration Group Reactivated"",""Social Post"",""Question Post"",""Facebook Post"",""Basic Template Post"",""Created Record"",""Canvas"",""a""]",false
"SiteFeed","Site","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"SiteFeed","Site","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"SiteFeed","Site","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"SiteFeed","Site","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"SiteFeed","Site","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"SiteFeed","Site","CommentCount","Comment Count","int",0,false,"[]",,false,false,,"[]",false
"SiteFeed","Site","LikeCount","Like Count","int",0,false,"[]",,false,false,,"[]",false
"SiteFeed","Site","Title","Title","string",255,true,"[]",,false,false,,"[]",false
"SiteFeed","Site","Body","Body","textarea",10000,true,"[]",,false,false,,"[]",false
"SiteFeed","Site","LinkUrl","Link Url","url",1000,true,"[]",,false,false,,"[]",false
"SiteFeed","Site","IsRichText","Is Rich Text","boolean",0,false,"[]",,false,false,,"[]",false
"SiteFeed","Site","RelatedRecordId","Related Record ID","reference",18,true,"[""ContentVersion"",""WorkThanks""]",,false,false,,"[]",false
"SiteFeed","Site","InsertedById","InsertedBy ID","reference",18,true,"[""User""]","InsertedBy",false,false,,"[]",false
"SiteFeed","Site","BestCommentId","Best Comment ID","reference",18,true,"[""FeedComment""]","BestComment",false,false,,"[]",false
"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"SiteHistory","Site History","Id","Custom Site ID","id",18,false,"[]",,false,false,,"[]",false
"SiteHistory","Site History","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"SiteHistory","Site History","SiteId","Site ID","reference",18,false,"[""Site""]","Site",false,false,,"[]",false
"SiteHistory","Site History","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"SiteHistory","Site History","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"SiteHistory","Site History","Field","Changed Field","picklist",255,false,"[]",,false,false,,"[""Active"",""Active Site Home Page"",""Allow Access to Standard Salesforce Pages"",""Analytics Tracking Code"",""Authorization Required Page (401)"",""Change Password Page"",""Clickjack Protection Level"",""Created."",""Custom Web Address"",""Custom Web Address"",""Custom Web Address"",""Default Site Domain"",""Default Site Domain"",""Default Web Address"",""Disable Site"",""Enable Feeds"",""Enable Standard Answers Pages"",""Enable Standard Home Page"",""Enable Standard Ideas Pages"",""Enable Standard Lookup Pages"",""Enable Standard Search Pages"",""Feed event"",""Forgot Password Page"",""Generic Error Page"",""Guest User"",""Inactive Site Home Page"",""Individual Merged"",""Limit Exceeded Page (509)"",""Maintenance Page(500/503)"",""Monthly page view limit exceeded for org"",""My Profile Page"",""New Password Template"",""New User Template"",""Options"",""Owner (Accepted)"",""Owner (Assignment)"",""Page Not Found Page (404)"",""Portal"",""Record locked."",""Record unlocked."",""redirection mappings. Created a new mapping"",""redirection mappings. Deleted the mapping"",""redirection mappings. The new mapping value is"",""Require Non-Secure Connections (HTTP)"",""Require Secure Connections (HTTPS)"",""Self Registration Page"",""Service Not Available"",""Site Contact"",""Site Description"",""Site Favorite Icon"",""Site Label"",""Site Master Language"",""Site Name"",""Site Robots.txt"",""Site Status"",""Site Subdomain Prefix"",""Site Template"",""Site Type"",""Unique ID"",""URL Rewriter Class"",""User""]",false
"SiteHistory","Site History","OldValue","Old Value","anyType",255,true,"[]",,false,false,,"[]",false
"SiteHistory","Site History","NewValue","New Value","anyType",255,true,"[]",,false,false,,"[]",false
"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"SiteIframeWhiteListUrl","Whitelisted Domains for Inline Frames","Id","Site Iframe WhiteList Url ID","id",18,false,"[]",,false,false,,"[]",false
"SiteIframeWhiteListUrl","Whitelisted Domains for Inline Frames","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"SiteIframeWhiteListUrl","Whitelisted Domains for Inline Frames","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"SiteIframeWhiteListUrl","Whitelisted Domains for Inline Frames","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"SiteIframeWhiteListUrl","Whitelisted Domains for Inline Frames","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"SiteIframeWhiteListUrl","Whitelisted Domains for Inline Frames","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"SiteIframeWhiteListUrl","Whitelisted Domains for Inline Frames","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"SiteIframeWhiteListUrl","Whitelisted Domains for Inline Frames","SiteId","Site ID","reference",18,false,"[""Site""]","Site",false,false,,"[]",false
"SiteIframeWhiteListUrl","Whitelisted Domains for Inline Frames","Url","Domain","string",255,true,"[]",,false,true,"Accepts these formats: example.com, *.example.com, and http://example.com","[]",false
"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"Skill","Skill","Id","Skill ID","id",18,false,"[]",,false,false,,"[]",false
"Skill","Skill","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"Skill","Skill","DeveloperName","Developer Name","string",80,false,"[]",,false,true,,"[]",false
"Skill","Skill","Language","Master Language","picklist",40,true,"[]",,false,true,,"[""English"",""German"",""Spanish"",""French"",""Italian"",""Japanese"",""Swedish"",""Korean"",""Chinese (Traditional)"",""Chinese (Simplified)"",""Portuguese (Brazil)"",""Dutch"",""Danish"",""Thai"",""Finnish"",""Russian"",""Spanish (Mexico)"",""Norwegian""]",false
"Skill","Skill","MasterLabel","Name","string",80,false,"[]",,false,true,,"[]",false
"Skill","Skill","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"Skill","Skill","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"Skill","Skill","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"Skill","Skill","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"Skill","Skill","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"Skill","Skill","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"Skill","Skill","Description","Description","textarea",32000,true,"[]",,false,true,,"[]",false
"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"SkillRequirement","Skill Requirement","Id","Skill Requirement ID","id",18,false,"[]",,false,false,,"[]",false
"SkillRequirement","Skill Requirement","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"SkillRequirement","Skill Requirement","SkillNumber","Skill Requirement Number","string",255,false,"[]",,false,false,,"[]",false
"SkillRequirement","Skill Requirement","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"SkillRequirement","Skill Requirement","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"SkillRequirement","Skill Requirement","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"SkillRequirement","Skill Requirement","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"SkillRequirement","Skill Requirement","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"SkillRequirement","Skill Requirement","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
